rank,country_full,country_abrv,total_points,previous_points,rank_change,cur_year_avg,rank_date
1,Netherlands,NED,1596.13,1542,1,748.05,2011-08-24
2,Spain,ESP,1563.45,1588,-1,589.59,2011-08-24
3,Germany,GER,1329.86,1305,0,617.83,2011-08-24
4,England,ENG,1176.88,1146,2,588.08,2011-08-24
5,Uruguay,URU,1174.34,1156,0,599.26,2011-08-24
6,Brazil,BRA,1156.01,1202,-2,386,2011-08-24
7,Italy,ITA,1109.8,1059,1,626.23,2011-08-24
8,Portugal,POR,1059.87,1076,-1,516.05,2011-08-24
9,Argentina,ARG,1016.96,1012,1,383.75,2011-08-24
10,Croatia,CRO,1008.72,1033,-1,569.7,2011-08-24
11,Chile,CHI,959.85,974,0,447.07,2011-08-24
12,Norway,NOR,942.86,972,0,540.1,2011-08-24
13,Russia,RUS,940.15,915,4,429.93,2011-08-24
14,Greece,GRE,936.61,959,-1,443.31,2011-08-24
15,Japan,JPN,918.4,924,-1,533.87,2011-08-24
15,Côte d'Ivoire,CIV,918.48,922,0,484.37,2011-08-24
15,France,FRA,918.43,920,1,514.63,2011-08-24
18,Sweden,SWE,888.8,884,1,523.93,2011-08-24
19,Montenegro,MNE,874.67,915,-2,617,2011-08-24
20,Mexico,MEX,863.77,868,0,474.22,2011-08-24
21,Denmark,DEN,841.24,857,0,432.28,2011-08-24
22,Australia,AUS,837.35,834,0,377.88,2011-08-24
23,Slovenia,SVN,815.76,833,0,323.25,2011-08-24
24,Turkey,TUR,811.2,820,0,407.97,2011-08-24
25,Paraguay,PAR,807.4,804,1,310.02,2011-08-24
26,Peru,PER,805.72,805,-1,448.07,2011-08-24
26,Slovakia,SVK,806.45,779,3,395.45,2011-08-24
28,USA,USA,791.44,777,2,335.41,2011-08-24
29,Serbia,SRB,784.3,798,-2,330.81,2011-08-24
30,Switzerland,SUI,757.44,777,0,261.93,2011-08-24
31,Republic of Ireland,IRL,753.77,752,2,398.31,2011-08-24
32,Israel,ISR,746.31,771,0,368.25,2011-08-24
